,TP9,AF7,AF8,TP10,Right AUX,timestamps
96,-30.762,-52.734,-32.715,-3.418,0.000,1659355776.472
97,-30.273,-51.758,-36.621,5.371,0.000,1659355776.475
98,-29.785,-53.223,-42.969,-6.836,0.000,1659355776.479
99,-39.062,-55.176,-41.504,-20.508,0.000,1659355776.482
100,-42.969,-48.828,-35.645,-15.137,0.000,1659355776.486
101,-39.062,-45.898,-34.668,-9.766,0.000,1659355776.489
102,-26.855,-42.969,-36.621,-9.277,0.000,1659355776.493
103,-12.207,-44.434,-35.156,-13.672,0.000,1659355776.496
104,-26.855,-41.992,-27.832,-12.695,0.000,1659355776.499
105,-41.992,-32.227,-27.344,-17.578,0.000,1659355776.503
106,-38.574,-35.156,-31.738,-19.531,0.000,1659355776.506
107,-41.992,-41.504,-32.227,-19.043,0.000,1659355776.510
108,-45.898,-44.434,-33.691,-21.973,0.000,1659355776.515
109,-46.387,-43.945,-34.180,-19.043,0.000,1659355776.518
110,-31.738,-36.133,-31.250,-24.902,0.000,1659355776.522
111,-30.762,-36.621,-31.738,-34.180,0.000,1659355776.525
112,-42.969,-45.898,-36.133,-30.762,0.000,1659355776.528
113,-41.992,-44.922,-41.992,-32.227,0.000,1659355776.532
114,-33.691,-36.621,-40.527,-27.832,0.000,1659355776.535
115,-25.879,-44.434,-37.598,-18.066,0.000,1659355776.539
116,-33.691,-51.758,-42.480,-30.762,0.000,1659355776.542
117,-47.363,-39.062,-44.434,-39.062,0.000,1659355776.546
118,-37.109,-29.297,-34.668,-25.879,0.000,1659355776.549
119,-27.344,-25.391,-26.855,-26.855,0.000,1659355776.553
120,-25.879,-35.645,-28.320,-31.250,0.000,1659355776.558
121,-25.879,-43.457,-31.250,-35.156,0.000,1659355776.561
122,-25.391,-39.551,-27.832,-39.551,0.000,1659355776.565
123,-17.090,-34.668,-23.438,-34.668,0.000,1659355776.568
124,-18.555,-33.203,-27.832,-32.715,0.000,1659355776.572
125,-15.625,-34.668,-26.855,-30.762,0.000,1659355776.575
126,-10.742,-33.691,-28.320,-21.973,0.000,1659355776.579
127,-13.672,-34.180,-33.203,-13.672,0.000,1659355776.582
128,-16.602,-31.738,-29.785,-22.461,0.000,1659355776.585
129,-16.602,-27.832,-26.855,-24.414,0.000,1659355776.589
130,-18.066,-28.320,-30.762,-24.414,0.000,1659355776.592
131,-17.090,-29.785,-32.715,-21.973,0.000,1659355776.596
132,-21.973,-33.691,-34.668,-21.973,0.000,1659355776.601
133,-22.461,-41.016,-40.039,-34.180,0.000,1659355776.605
134,-31.250,-42.969,-41.504,-36.133,0.000,1659355776.608
135,-33.691,-33.691,-33.203,-24.902,0.000,1659355776.612
136,-17.090,-33.691,-31.738,-24.414,0.000,1659355776.615
