,TP9,AF7,AF8,TP10,Right AUX,timestamps
98,-23.438,-105.957,-56.152,-5.371,0.000,1659356054.957
99,-24.902,-107.910,-53.223,-5.859,0.000,1659356054.960
100,-27.344,-107.422,-52.734,0.488,0.000,1659356054.964
101,-24.902,-104.980,-53.223,2.930,0.000,1659356054.967
102,-24.414,-100.098,-53.223,-2.441,0.000,1659356054.971
103,-35.156,-101.562,-56.152,-7.324,0.000,1659356054.974
104,-38.086,-104.980,-55.664,-6.836,0.000,1659356054.978
105,-36.133,-100.586,-54.199,-15.137,0.000,1659356054.981
106,-32.715,-98.633,-55.664,-10.254,0.000,1659356054.984
107,-36.133,-99.121,-58.105,-9.277,0.000,1659356054.988
108,-39.062,-95.703,-58.594,-12.695,0.000,1659356054.993
109,-34.668,-91.797,-56.152,-8.789,0.000,1659356054.996
110,-31.738,-85.938,-58.594,-12.695,0.000,1659356054.999
111,-37.598,-88.867,-60.547,-19.043,0.000,1659356055.003
112,-45.898,-87.402,-54.199,-18.066,0.000,1659356055.006
113,-45.898,-77.637,-48.828,-9.277,0.000,1659356055.010
114,-48.340,-78.613,-47.363,-3.906,0.000,1659356055.013
115,-48.828,-80.566,-42.969,2.930,0.000,1659356055.017
116,-51.270,-75.684,-41.992,1.465,0.000,1659356055.020
117,-49.316,-71.289,-43.457,-7.812,0.000,1659356055.024
118,-43.945,-71.289,-44.434,-7.812,0.000,1659356055.027
119,-51.270,-72.266,-48.828,-9.766,0.000,1659356055.031
120,-57.129,-74.219,-48.828,-14.160,0.000,1659356055.035
121,-57.617,-70.312,-48.340,-19.531,0.000,1659356055.039
122,-50.781,-68.359,-46.387,-16.113,0.000,1659356055.042
123,-56.641,-73.242,-45.410,-18.555,0.000,1659356055.046
124,-63.965,-63.477,-46.875,-23.438,0.000,1659356055.049
125,-63.477,-62.500,-49.316,-20.508,0.000,1659356055.053
126,-68.359,-70.801,-46.387,-21.484,0.000,1659356055.056
127,-74.707,-66.895,-40.039,-22.949,0.000,1659356055.060
128,-85.938,-65.918,-42.480,-41.016,0.000,1659356055.063
129,-97.168,-61.523,-42.480,-50.781,0.000,1659356055.067
130,-98.145,-51.270,-45.410,-41.504,0.000,1659356055.070
131,-94.238,-40.039,-46.875,-41.504,0.000,1659356055.074
132,-99.121,-35.156,-42.480,-40.039,0.000,1659356055.079
133,-103.027,-38.574,-35.156,-40.039,0.000,1659356055.082
134,-103.516,-37.598,-34.668,-52.734,0.000,1659356055.086
135,-103.027,-37.598,-37.109,-53.711,0.000,1659356055.089
136,-103.027,-37.109,-36.133,-45.898,0.000,1659356055.093
137,-104.980,-32.715,-38.086,-45.410,0.000,1659356055.096
138,-112.305,-41.016,-38.574,-50.293,0.000,1659356055.100
139,-117.188,-46.387,-34.180,-66.406,0.000,1659356055.103
140,-117.676,-42.969,-31.738,-66.406,0.000,1659356055.107
141,-127.930,-44.922,-33.691,-56.641,0.000,1659356055.110
142,-133.301,-44.434,-38.086,-63.477,0.000,1659356055.114
143,-124.023,-44.434,-36.621,-60.547,0.000,1659356055.117
144,-116.211,-49.316,-32.227,-51.758,0.000,1659356055.122
