,TP9,AF7,AF8,TP10,Right AUX,timestamps
97,92.773,-806.152,-991.699,-1000.000,0.000,1659355578.683
98,-766.113,710.449,-1000.000,218.262,0.000,1659355578.685
99,764.648,-799.316,-1000.000,-810.547,0.000,1659355578.688
100,-46.387,-191.895,-1000.000,-126.465,0.000,1659355578.690
101,686.035,-576.172,-1000.000,-1000.000,0.000,1659355578.693
102,-916.504,829.590,-1000.000,-226.562,0.000,1659355578.695
103,-969.238,-780.762,-1000.000,-813.965,0.000,1659355578.698
104,104.492,7.812,-1000.000,235.840,0.000,1659355578.700
105,205.566,-209.961,-997.559,-1000.000,0.000,1659355578.703
106,-931.641,991.699,-994.629,-264.648,0.000,1659355578.705
107,-872.070,-825.195,-1000.000,-802.246,0.000,1659355578.708
108,51.270,293.457,-1000.000,321.289,0.000,1659355578.713
109,-274.902,-296.387,-1000.000,-1000.000,0.000,1659355578.716
110,984.375,938.965,-1000.000,-866.699,0.000,1659355578.718
111,-895.020,995.605,-1000.000,538.086,0.000,1659355578.721
112,496.094,-994.141,-1000.000,-812.988,0.000,1659355578.723
113,-847.168,-10.742,-1000.000,-18.555,0.000,1659355578.726
114,-1000.000,-1000.000,-1000.000,-1000.000,0.000,1659355578.728
115,-839.355,-481.445,-1000.000,-237.793,0.000,1659355578.731
116,42.480,-928.223,-1000.000,-819.336,0.000,1659355578.733
117,-635.742,209.473,-1000.000,226.562,0.000,1659355578.736
118,-1000.000,-1000.000,-1000.000,-1000.000,0.000,1659355578.739
119,-931.152,-1000.000,-1000.000,-901.367,0.000,1659355578.741
120,-1000.000,283.691,-1000.000,712.402,0.000,1659355578.748
121,-1000.000,312.500,-1000.000,290.527,0.000,1659355578.751
122,-1000.000,-1000.000,-1000.000,-1000.000,0.000,1659355578.753
123,-1000.000,-1000.000,-1000.000,-1000.000,0.000,1659355578.756
124,-1000.000,-55.176,-1000.000,-52.734,0.000,1659355578.758
125,-1000.000,358.398,-1000.000,244.629,0.000,1659355578.761
126,-1000.000,-1000.000,-1000.000,-999.023,0.000,1659355578.763
127,-1000.000,-1000.000,-1000.000,-1000.000,0.000,1659355578.766
128,-1000.000,-958.008,-1000.000,-261.719,0.000,1659355578.768
129,-1000.000,-1000.000,-1000.000,546.387,0.000,1659355578.771
130,-1000.000,-1000.000,-1000.000,-827.148,0.000,1659355578.773
131,-1000.000,-1000.000,-1000.000,-1000.000,0.000,1659355578.776
132,-1000.000,-1000.000,-1000.000,-930.176,0.000,1659355578.784
133,-1000.000,-1000.000,-1000.000,448.730,0.000,1659355578.787
134,-1000.000,-1000.000,-1000.000,-11.719,0.000,1659355578.789
135,-1000.000,-1000.000,-1000.000,-1000.000,0.000,1659355578.792
136,-1000.000,-1000.000,-1000.000,-1000.000,0.000,1659355578.795
137,-1000.000,-1000.000,-1000.000,25.391,0.000,1659355578.797
138,-1000.000,-1000.000,-1000.000,286.621,0.000,1659355578.800
139,-1000.000,-1000.000,-1000.000,-1000.000,0.000,1659355578.802
140,-1000.000,-1000.000,-1000.000,-1000.000,0.000,1659355578.805
141,-1000.000,-1000.000,-1000.000,-47.852,0.000,1659355578.807
142,-1000.000,-1000.000,-1000.000,374.023,0.000,1659355578.810
143,-1000.000,-995.605,-1000.000,-950.195,0.000,1659355578.813
144,-1000.000,-997.559,-1000.000,-1000.000,0.000,1659355578.820
145,-1000.000,-1000.000,-999.023,-486.328,0.000,1659355578.823
146,-1000.000,-769.043,-1000.000,704.102,0.000,1659355578.825
147,-1000.000,-812.500,-997.559,-505.859,0.000,1659355578.828
148,-1000.000,-991.211,-909.180,-1000.000,0.000,1659355578.831
149,-1000.000,-1000.000,-911.621,-1000.000,0.000,1659355578.833
150,-1000.000,37.598,-1000.000,295.410,0.000,1659355578.836
151,-1000.000,330.078,-1000.000,124.023,0.000,1659355578.838
152,-1000.000,-1000.000,-582.031,-1000.000,0.000,1659355578.841
153,-1000.000,-1000.000,-551.270,-1000.000,0.000,1659355578.844
154,-1000.000,-142.090,-1000.000,-67.871,0.000,1659355578.846
155,-1000.000,-881.348,-1000.000,259.277,0.000,1659355578.849
156,-1000.000,-100.098,-114.258,-1000.000,0.000,1659355578.858
157,-1000.000,-1000.000,697.754,-1000.000,0.000,1659355578.860
158,-1000.000,-102.539,-345.703,-105.957,0.000,1659355578.863
159,-1000.000,-780.762,-1000.000,675.781,0.000,1659355578.865
160,-1000.000,218.262,-452.148,-726.562,0.000,1659355578.868
161,-1000.000,-1000.000,685.059,-1000.000,0.000,1659355578.871
162,-1000.000,-190.430,-114.746,-501.953,0.000,1659355578.873
163,-1000.000,-824.707,-1000.000,959.961,0.000,1659355578.876
164,-1000.000,440.918,-854.004,-58.594,0.000,1659355578.879
165,-1000.000,-995.117,238.770,-1000.000,0.000,1659355578.881
166,-1000.000,-988.770,-76.660,-935.059,0.000,1659355578.884
167,-1000.000,558.105,-1000.000,559.570,0.000,1659355578.887
168,0.000,593.262,-1000.000,323.730,0.000,1659355578.898
169,0.000,-870.117,-311.523,-1000.000,0.000,1659355578.900
170,0.000,-1000.000,-227.539,-1000.000,0.000,1659355578.903
171,0.000,-187.988,-1000.000,132.324,0.000,1659355578.906
172,0.000,919.922,-1000.000,678.711,0.000,1659355578.908
173,0.000,-363.770,-672.852,-867.676,0.000,1659355578.911
174,0.000,-1000.000,-408.691,-1000.000,0.000,1659355578.914
175,0.000,-442.383,-916.992,-189.453,0.000,1659355578.916
176,0.000,-995.117,-1000.000,-884.277,0.000,1659355578.919
177,0.000,85.449,-892.090,-60.059,0.000,1659355578.922
178,0.000,-1000.000,-719.727,-1000.000,0.000,1659355578.924
179,0.000,-1000.000,-921.875,-398.438,0.000,1659355578.927
180,-1000.000,335.449,-1000.000,-892.090,0.000,1659355578.939
181,-1000.000,240.234,-991.211,171.387,0.000,1659355578.942
182,-74.707,-1000.000,-996.582,-1000.000,0.000,1659355578.944
183,259.277,-1000.000,-995.117,-1000.000,0.000,1659355578.947
184,-1000.000,-293.457,-997.070,307.129,0.000,1659355578.950
185,-1000.000,94.727,-1000.000,319.824,0.000,1659355578.953
186,-75.684,-948.730,-972.168,-1000.000,0.000,1659355578.955
187,674.316,-1000.000,-953.613,-1000.000,0.000,1659355578.958
188,-793.457,-458.496,-991.699,-52.734,0.000,1659355578.961
189,-1000.000,562.500,-1000.000,415.039,0.000,1659355578.963
190,-183.594,-581.055,-925.293,-946.289,0.000,1659355578.966
191,-890.137,-540.039,-802.734,-1000.000,0.000,1659355578.969
192,-56.152,-198.242,-957.520,-603.027,0.000,1659355578.980
193,-1000.000,368.652,-1000.000,145.996,0.000,1659355578.983
194,-610.352,-84.473,-947.266,-855.469,0.000,1659355578.985
195,989.746,-458.008,-741.211,-1000.000,0.000,1659355578.988
196,260.742,147.949,-849.609,-935.547,0.000,1659355578.991
197,-1000.000,207.031,-1000.000,-1000.000,0.000,1659355578.994
198,-1000.000,-75.195,-999.512,-1000.000,0.000,1659355578.996
199,194.824,-975.586,-821.289,-1000.000,0.000,1659355578.999
200,307.129,-758.789,-811.035,-1000.000,0.000,1659355579.002
201,-1000.000,-960.449,-1000.000,-1000.000,0.000,1659355579.005
202,-1000.000,-1000.000,-1000.000,-1000.000,0.000,1659355579.008
203,-117.188,-991.211,-994.629,-1000.000,0.000,1659355579.010
204,0.000,-1000.000,-1000.000,-1000.000,0.000,1659355579.022
205,0.000,-1000.000,-1000.000,-1000.000,0.000,1659355579.024
206,0.000,-942.871,-1000.000,-1000.000,0.000,1659355579.027
207,0.000,-1000.000,-1000.000,-1000.000,0.000,1659355579.030
208,0.000,-208.008,-1000.000,-1000.000,0.000,1659355579.033
209,0.000,169.922,-1000.000,-1000.000,0.000,1659355579.036
210,0.000,-1000.000,-1000.000,-1000.000,0.000,1659355579.038
211,0.000,-369.141,-1000.000,-1000.000,0.000,1659355579.041
