timestamps,TP9,AF7,AF8,TP10,Right AUX
1659217161.593,971.191,-1000.0,-1000.0,971.68,0.0
1659217161.597,971.191,-1000.0,-1000.0,971.68,0.0
1659217161.597,971.191,-1000.0,-1000.0,971.68,0.0
1659217161.6,971.191,-1000.0,-1000.0,972.168,0.0
1659217161.604,971.191,-1000.0,-1000.0,972.168,0.0
1659217161.607,971.191,-1000.0,-1000.0,971.68,0.0
1659217161.611,971.68,-1000.0,-1000.0,971.68,0.0
1659217161.614,971.191,-1000.0,-1000.0,971.68,0.0
1659217161.618,971.191,-1000.0,-1000.0,972.168,0.0
1659217161.621,971.191,-1000.0,-1000.0,972.168,0.0
1659217161.625,971.191,-1000.0,-1000.0,972.168,0.0
1659217161.628,971.191,-1000.0,-1000.0,972.168,0.0
1659217161.632,971.191,-1000.0,-1000.0,972.168,0.0
1659217161.635,971.68,-1000.0,-1000.0,971.68,0.0
1659217161.635,971.191,-1000.0,-1000.0,972.168,0.0
1659217161.639,971.191,-1000.0,-1000.0,972.168,0.0
1659217161.642,971.191,-1000.0,-1000.0,971.68,0.0
1659217161.645,971.191,-1000.0,-1000.0,972.168,0.0
1659217161.649,971.68,-1000.0,-1000.0,972.168,0.0
1659217161.652,971.191,-1000.0,-1000.0,972.168,0.0
1659217161.656,971.191,-1000.0,-1000.0,972.168,0.0
1659217161.659,971.191,-1000.0,-1000.0,972.168,0.0
1659217161.663,971.68,-1000.0,-1000.0,972.168,0.0
1659217161.666,971.68,-1000.0,-1000.0,972.168,0.0
1659217161.67,971.191,-1000.0,-1000.0,971.68,0.0
1659217161.673,971.68,-1000.0,-1000.0,971.68,0.0
1659217161.674,971.68,-1000.0,-1000.0,971.68,0.0
1659217161.677,971.191,-1000.0,-1000.0,972.168,0.0
1659217161.681,971.191,-1000.0,-1000.0,971.68,0.0
1659217161.684,971.191,-1000.0,-1000.0,971.68,0.0
1659217161.688,971.191,-1000.0,-1000.0,971.68,0.0
1659217161.691,971.68,-1000.0,-1000.0,971.68,0.0
1659217161.694,971.68,-1000.0,-1000.0,972.168,0.0
1659217161.698,971.68,-1000.0,-1000.0,971.68,0.0
1659217161.701,971.68,-1000.0,-1000.0,971.68,0.0
1659217161.705,971.68,-1000.0,-1000.0,972.168,0.0
1659217161.708,971.191,-1000.0,-1000.0,972.168,0.0
1659217161.711,971.68,-1000.0,-1000.0,972.168,0.0
1659217161.714,0.0,-1000.0,-1000.0,972.168,0.0
1659217161.717,0.0,-1000.0,-1000.0,972.168,0.0
1659217161.72,0.0,-1000.0,-1000.0,972.168,0.0
1659217161.724,0.0,-1000.0,-1000.0,972.168,0.0
1659217161.727,0.0,-1000.0,-1000.0,972.168,0.0
1659217161.731,0.0,-1000.0,-1000.0,971.68,0.0
1659217161.734,0.0,-1000.0,-1000.0,971.68,0.0
1659217161.737,0.0,-1000.0,-998.047,972.168,0.0
1659217161.741,0.0,-1000.0,-1000.0,971.68,0.0
1659217161.744,0.0,-1000.0,-979.98,971.68,0.0
1659217161.747,0.0,-1000.0,-908.691,971.68,0.0
1659217161.751,0.0,-1000.0,-844.727,971.68,0.0
1659217161.754,127.441,-1000.0,-783.691,971.68,0.0
1659217161.757,99.121,-1000.0,-729.004,972.168,0.0
1659217161.761,45.898,-1000.0,-677.734,972.168,0.0
1659217161.764,-16.113,-1000.0,-622.559,971.68,0.0
1659217161.767,-29.297,-1000.0,-570.801,971.68,0.0
1659217161.771,-20.02,-1000.0,-526.855,971.68,0.0
1659217161.774,-37.109,-1000.0,-479.004,971.68,0.0
1659217161.778,-110.352,-1000.0,-433.594,971.68,0.0
1659217161.781,-125.488,-1000.0,-387.207,971.68,0.0
1659217161.784,-69.824,-1000.0,-338.379,971.68,0.0
1659217161.788,-41.016,-1000.0,-303.711,972.168,0.0
1659217161.791,-63.477,-1000.0,-265.625,971.68,0.0
1659217161.796,-100.586,-1000.0,-227.051,971.68,0.0
1659217161.799,-91.797,-1000.0,-194.824,971.68,0.0
1659217161.802,-61.523,-1000.0,-159.668,972.168,0.0
1659217161.806,-84.961,-1000.0,-129.395,971.191,0.0
1659217161.809,-125.977,-1000.0,-102.051,971.68,0.0
1659217161.813,-137.207,-1000.0,-71.777,969.238,0.0
1659217161.816,-116.699,-1000.0,-51.758,940.43,0.0
1659217161.819,-115.723,-1000.0,-28.809,898.926,0.0
1659217161.823,-164.062,-1000.0,-10.742,860.84,0.0
1659217161.826,-178.223,-1000.0,-1.465,839.844,0.0
1659217161.829,-140.625,-1000.0,15.625,869.629,0.0
1659217161.833,-127.441,-1000.0,31.25,896.973,0.0
1659217161.838,-170.41,-1000.0,35.645,858.398,0.0
1659217161.841,-194.336,-1000.0,42.969,841.309,0.0
1659217161.845,-150.391,-1000.0,61.035,876.953,0.0
1659217161.848,-117.676,-1000.0,77.637,907.715,0.0
1659217161.852,-151.855,-1000.0,92.773,881.348,0.0
1659217161.855,-175.781,-1000.0,104.98,846.68,0.0
1659217161.858,-152.832,-1000.0,115.723,872.559,0.0
1659217161.862,-112.793,-1000.0,127.93,908.203,0.0
1659217161.865,-131.348,-1000.0,139.648,872.07,0.0
1659217161.869,-178.711,-1000.0,150.391,815.918,0.0
1659217161.872,-146.484,-1000.0,146.973,837.402,0.0
1659217161.875,-66.406,-1000.0,166.992,888.672,0.0
1659217161.881,-86.914,-1000.0,199.707,849.121,0.0
1659217161.885,-169.922,-1000.0,205.078,770.02,0.0
1659217161.888,-170.41,-1000.0,208.008,754.883,0.0
1659217161.892,-103.516,-1000.0,210.449,791.504,0.0
1659217161.895,-81.543,-1000.0,222.656,797.363,0.0
1659217161.898,-149.414,-1000.0,236.328,735.352,0.0
1659217161.902,-178.711,-1000.0,236.816,708.984,0.0
1659217161.905,-130.859,-1000.0,237.305,738.281,0.0
1659217161.909,-99.609,-1000.0,235.84,732.91,0.0
1659217161.912,-125.488,-1000.0,230.469,669.922,0.0
1659217161.916,-148.438,-1000.0,223.633,628.418,0.0
1659217161.919,-107.91,-1000.0,228.516,649.902,0.0
1659217161.923,0.0,-1000.0,235.84,672.363,0.0
1659217161.927,0.0,-1000.0,239.746,647.949,0.0
1659217161.93,0.0,-1000.0,245.117,601.562,0.0
1659217161.934,0.0,-1000.0,243.164,594.238,0.0
1659217161.937,0.0,-1000.0,246.582,623.047,0.0
1659217161.941,0.0,-1000.0,252.441,627.93,0.0
1659217161.944,0.0,-1000.0,256.348,571.289,0.0
1659217161.947,0.0,-1000.0,251.953,533.203,0.0
1659217161.951,0.0,-1000.0,247.559,556.152,0.0
1659217161.954,0.0,-1000.0,253.418,575.684,0.0
1659217161.958,0.0,-1000.0,254.883,544.922,0.0
1659217161.961,0.0,-1000.0,241.699,507.812,0.0
1659217161.966,-78.613,-1000.0,236.816,509.766,0.0
1659217161.97,-39.551,-1000.0,242.676,539.551,0.0
1659217161.973,-50.293,-1000.0,240.234,511.23,0.0
1659217161.977,-82.52,-1000.0,229.492,465.332,0.0
1659217161.98,-66.406,-1000.0,226.074,477.051,0.0
